Job_ID,Role,Company,Location,Publish_Time,URL
84413086,Data Engineer (DataOps/Data Management),Adecco Personnel Pte Ltd.,Central Region,2025-05-22 12:54:37,https://id.jobstreet.com/id/job/84413086
84185059,Data Engineer,Keppel Management Ltd,Central Region,2025-05-13 12:54:37,https://id.jobstreet.com/id/job/84185059
84707702,Senior Data Engineer (2 year contract),StarHub Ltd,Singapore,2025-06-04 12:54:37,https://id.jobstreet.com/id/job/84707702
84724781,Data Engineer | $6k - $7.5k | 24 Months' Contract,BGC Group Pte Ltd,Singapore River,2025-06-05 12:54:37,https://id.jobstreet.com/id/job/84724781
84766430,Data Engineer III/IV,Ollion,Singapore,2025-06-08 01:54:37,https://id.jobstreet.com/id/job/84766430
84428868,Data Engineer - ETL (Engineering & Ops),Synapxe,One North,2025-05-23 12:54:37,https://id.jobstreet.com/id/job/84428868
84564154,Cloudera / Data Engineer,NCS Pte Ltd,Ang Mo Kio Town Centre,2025-05-29 12:54:37,https://id.jobstreet.com/id/job/84564154
84185182,Data Architect,Keppel Management Ltd,Central Region,2025-05-13 12:54:37,https://id.jobstreet.com/id/job/84185182
84438151,Senior / Staff Specialist - Data Scientist,Infineon Technologies,Kallang,2025-05-23 12:54:37,https://id.jobstreet.com/id/job/84438151
84185116,Senior Data Engineer,Keppel Management Ltd,Central Region,2025-05-13 12:54:37,https://id.jobstreet.com/id/job/84185116
84752924,Contract - Data Engineer [AI Data Pipeline] (1 year),Infineon Technologies,Kallang,2025-06-06 12:54:37,https://id.jobstreet.com/id/job/84752924
84413216,Big Data Support Engineer (Junior),NTT DATA SERVICES SINGAPORE PTE. LTD.,Central Region,2025-05-23 12:54:37,https://id.jobstreet.com/id/job/84413216
84589092,CDP Data Engineer,Hays Specialist Recruitment Pte Ltd,Central Region,2025-05-30 12:54:37,https://id.jobstreet.com/id/job/84589092
84413079,Big Data Support Engineer (Intermediate),NTT DATA SERVICES SINGAPORE PTE. LTD.,Central Region,2025-05-22 12:54:37,https://id.jobstreet.com/id/job/84413079
